Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
MOD-NCB-G-0430-2017-BID-Re-bid,Lot:  1,የጋረጅ ቱታና ጋዋን ግዥ,Ministry of Defense,Goods,National,Federal Government,"Feb 19, 2026, 10:00:00 AM"
MoH-NCB-G-0338-2017-PUR,Lot:  1,Purchase for Notice Boards and pin board,Ministry of Health,Goods,National,Federal Government,"Feb 28, 2028, 2:00:00 PM"
MInT-NCB-G-0194-2017-PUR,Lot:  1,የፋይል ሼልፍ እና ቶነር ግዥ,Ministry of Innovation and Technology,Goods,National,Federal Government,"Feb 28, 2028, 8:30:00 AM"
EFP-NCB-G-0412-2017-PUR,Lot:  1,የሰነድ ማያዥያ(CAT) ቦርሳ ቁ.2,Ethiopian Federal Police,Goods,National,Federal Government,"Dec 26, 2030, 12:00:00 AM"
DDU-NCB-C-0361-2017-PUR,Lot:  1,Lot 130 procurement of የታሪክ ቦታዎችን በማንሳት,Dire Dawa University,ConsultancyServices,National,Federal Government,"Sep 11, 2056, 4:00:00 PM"
PPS-NCB-NC-0078-2017-PUR,Lot:  1,"hotel service in Addis Ababa ,lunch and",Federal Public Procurement Service,NonConsultancyServices,National,Federal Government,"Dec 11, 2025, 1:00:00 PM"
FJLI-NCB-NC-0015-2017-PUR,Lot:  1,lot 45 purchase of swing service,The Federal Justice and Law Institute,NonConsultancyServices,National,Federal Government,"Mar 25, 2031, 12:00:00 AM"
,,,,,,,
GRDCPO-NCB-G-0033-2017-PUR,Lot:  1,Procurements of Android car navigation s,Grand Renaissance Dam Coordination Proje,Goods,National,Federal Government,"Aug 29, 2025, 11:00:00 PM"
DBU-NCB-G-0076-2017-PUR,Lot:  1,የበር ቁልፍ ካሊ /ተመሳሳይ/ 01 ግዥ,Debre Birhan University,Goods,National,Federal Government,"Feb 6, 2026, 11:56:00 AM"
EIAR-NCB-G-0028-2017-PUR,Lot:  1,procurement of tyre with inner tube 7.50,Ethiopian Institute of Agricultural Rese,Goods,National,Federal Government,"Dec 4, 2030, 12:00:00 AM"
MoI-NCB-G-0229-2017-PUR,Lot:  1,Purchase Requisition for out door guest,Ministry of Industry,Goods,National,Federal Government,"Feb 5, 2026, 9:00:00 AM"
NISS-NCB-G-0607-2017-PUR,Lot:  1,Lot 004 Procurement Spare Part Material,National Intelligence and Security Servi,Goods,National,Federal Government,"Jan 1, 2031, 10:00:00 AM"
AHRI-NCB-NC-0024-2017-BID,Lot:  1,Procurment of  Resort service at Bishoft,Armauer Hansen Research Institute,NonConsultancyServices,National,Federal Government,"Jan 26, 2026, 10:00:00 AM"
EPHI-NCB-G-0286-2017-PUR,Lot:  1,Desktop computer Windows 10 Pro 64-bit o,Ethiopian Public Health Institute,Goods,National,Federal Government,"Jan 31, 2031, 8:49:00 AM"
EAA-NCB-G-0050-2017-PUR,Lot:  1,"Procurement Of Car Chair Close ,Hot Prot",Ethiopian Agricultural Authority,Goods,National,Federal Government,"Dec 3, 2025, 11:00:00 AM"
EPSA-NCB-NC-0047-2016-BID,Lot:  1,Car maintenance service (ኤሮ ትራክ  የሞተር ሙሉ,Ethiopia Pharmaceutical Supplies Service,NonConsultancyServices,National,Federal Government,"Jul 17, 2025, 2:00:00 PM"
EFP-NCB-G-0318-2017-PUR,Lot:  1,ቱቦላሬ ብረት ግዥ 02,Ethiopian Federal Police,Goods,National,Federal Government,"Jan 26, 2027, 5:00:00 PM"
,,,,,,,
GRDCPO-NCB-G-0033-2017-PUR,Lot:  1,Procurements of Android car navigation s,Grand Renaissance Dam Coordination Proje,Goods,National,Federal Government,"Aug 29, 2025, 11:00:00 PM"
DBU-NCB-G-0076-2017-PUR,Lot:  1,የበር ቁልፍ ካሊ /ተመሳሳይ/ 01 ግዥ,Debre Birhan University,Goods,National,Federal Government,"Feb 6, 2026, 11:56:00 AM"
EIAR-NCB-G-0028-2017-PUR,Lot:  1,procurement of tyre with inner tube 7.50,Ethiopian Institute of Agricultural Rese,Goods,National,Federal Government,"Dec 4, 2030, 12:00:00 AM"
MoI-NCB-G-0229-2017-PUR,Lot:  1,Purchase Requisition for out door guest,Ministry of Industry,Goods,National,Federal Government,"Feb 5, 2026, 9:00:00 AM"
NISS-NCB-G-0607-2017-PUR,Lot:  1,Lot 004 Procurement Spare Part Material,National Intelligence and Security Servi,Goods,National,Federal Government,"Jan 1, 2031, 10:00:00 AM"
AHRI-NCB-NC-0024-2017-BID,Lot:  1,Procurment of  Resort service at Bishoft,Armauer Hansen Research Institute,NonConsultancyServices,National,Federal Government,"Jan 26, 2026, 10:00:00 AM"
EPHI-NCB-G-0286-2017-PUR,Lot:  1,Desktop computer Windows 10 Pro 64-bit o,Ethiopian Public Health Institute,Goods,National,Federal Government,"Jan 31, 2031, 8:49:00 AM"
EAA-NCB-G-0050-2017-PUR,Lot:  1,"Procurement Of Car Chair Close ,Hot Prot",Ethiopian Agricultural Authority,Goods,National,Federal Government,"Dec 3, 2025, 11:00:00 AM"
EPSA-NCB-NC-0047-2016-BID,Lot:  1,Car maintenance service (ኤሮ ትራክ  የሞተር ሙሉ,Ethiopia Pharmaceutical Supplies Service,NonConsultancyServices,National,Federal Government,"Jul 17, 2025, 2:00:00 PM"
EFP-NCB-G-0318-2017-PUR,Lot:  1,ቱቦላሬ ብረት ግዥ 02,Ethiopian Federal Police,Goods,National,Federal Government,"Jan 26, 2027, 5:00:00 PM"
,,,,,,,
NISS-NCB-G-0593-2017-PUR,Lot:  1,Lot 01 Procurement of Plumbing material,National Intelligence and Security Servi,Goods,National,Federal Government,"Jan 28, 2027, 12:00:00 AM"
FFIC-NCB-G-0056-2017-PUR,Lot:  1,የመኪና ጐማ እና ቸርኬ ግዥ-2017,Federal First Instance Court,Goods,National,Federal Government,"Jan 23, 2031, 12:00:00 PM"
FHCE-NCB-G-0040-2017-PUR,Lot:  1,የአቃቂ ቃሊቲ ም/ችሎት የነዳጅ በርሚል ሁለት መቶ ሊትር የሚይዝ,Federal High Court,Goods,National,Federal Government,"Jun 23, 2025, 11:00:00 AM"
ECC-NCB-G-0306-2017-PUR,Lot:  1,የፊርማ አሻራ ቲተር ግዥ****,Ethiopian Customs Commission,Goods,National,Federal Government,"Feb 15, 2047, 10:50:00 AM"
MineIDI-NCB-G-0040-2017-PUR,Lot:  1,battery 75a,Mining Industry Development Institute,Goods,National,Federal Government,"Dec 9, 2025, 8:00:00 AM"
SPHMMC-NCB-G-0263-2017-PUR,Lot:  1,silk different type,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Dec 29, 2029, 5:30:00 PM"
TTI-NCB-NC-0068-2016-PUR,Lot:  1,procurement of Tiber Glass 1 square mete,Tourism Training Institute,NonConsultancyServices,National,Federal Government,"Aug 21, 2025, 5:30:00 PM"
ECTA-NCB-G-0024-2017-PUR,Lot:  1,ECTA18 /2017 Procurment of car batrry,Ethiopian Coffee and Tea Authority,Goods,National,Federal Government,"Jan 1, 2029, 8:30:00 AM"
WKU-NCB-NC-0039-2017-PUR,Lot:  1,LOT 069 Purchase Requisition of compress,Wolkite University,NonConsultancyServices,National,Federal Government,"Oct 11, 2025, 3:17:00 PM"
SPHMMC-NCB-G-0043-2017-PUR,Lot:  1,NICENE SPARE PART CHANCE NO JNCFAN16201,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Jun 26, 2026, 9:00:00 AM"
,,,,,,,
NISS -NCB-G-0062-2016-PUR,Lot:  1,018 የተሸከርካሪ መለዋወጫ,National Intelligence and Security Servi,Goods,National,Federal Government,"Dec 19, 5501, 3:00:00 PM"
SPHMMC-NCB-G-0180-2015-PUR,Lot:  1,SPARE PARTS OF N- PUK UP 4-15359,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Feb 19, 5501, 12:00:00 AM"
MoH-NCB-G-0033-2015-PUR,Lot:  1,:Procurement spare Part (Toyota),Ministry of Health,Goods,National,Federal Government,"Mar 13, 5501, 10:00:00 AM"
EPHI-NCB-G-0075-2015-PUR,Lot:  1,EPHI EARLY WARNING PURCHASE REQUISION,Ethiopian Public Health Institute,Goods,National,Federal Government,"Mar 11, 5501, 12:00:00 AM"
FEACC-NCB-W-0026-2015-PUR,Lot:  1,Purchase Requisition of Construction Wor,The Federal Ethics and Anti-Corruption C,Works,National,Federal Government,"Feb 5, 5501, 12:00:00 AM"
