Procurement Ref. No.,Lot No.,Procurement Title,Procuring Entity,Procurement Category,Market Approach,Source,Submission Deadline
PPS-ICB-G-0039-2017-BID,Lot:  1,Lot-1: Procurement of Information Techno,Federal Public Procurement Service,Goods,International,Federal Government,"Apr 24, 2025, 10:00:00 AM"
WU-NCB-G-0061-2017-PUR,Lot:  1,ለማዝዳ BT-50  CH-No MM7UR4DB4NW130334 የመኪና,Wollo University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
PPS-ICB-G-0042-2017-BID,Lot:  1,Lot-3: Procurement of Stationery Items f,Federal Public Procurement Service,Goods,International,Federal Government,"May 7, 2025, 10:00:00 AM"
PPS-ICB-G-0041-2017-BID,Lot:  1,Lot-4: Procurement of Sanitary Items for,Federal Public Procurement Service,Goods,International,Federal Government,"May 7, 2025, 2:00:00 PM"
PPS-ICB-G-0040-2017-BID,Lot:  1,Lot-2: Procurement of Printer and Photoc,Federal Public Procurement Service,Goods,International,Federal Government,"May 6, 2025, 2:00:00 PM"
,,,,,,,
MOD-NCB-G-0690-2017-PUR,Lot:  1,የደረት ማይክራፎን፣የጠረጴዛ ማይክራፎን እና HDMI የግዥ(def,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
AMSH-NCB-G-0072-2017-BID,Lot:  1,procurement of medicines 001,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
BDU-NCB-G-0127-2017-PUR,Lot:  1,ባዮ ሀዛርድ ባግ,Bahir Dar University,Goods,National,Federal Government,"Apr 1, 2025, 2:00:00 AM"
BDU-NCB-G-0067-2017-BID,Lot:  1,የህጻናት ማቆያ እቃዎች ግዥ,Bahir Dar University,Goods,National,Federal Government,"Apr 15, 2025, 5:00:00 PM"
WKU-NCB-G-0413-2017-PUR,Lot:  1,LOT 446 Purchase Requisition of ለስምሪትና ጋ,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
SPSH-NCB-G-0286-2017-PUR,Lot:  1,PROCUREMENT OF SPAR,St. Peter Specialized Hospital,Goods,National,Federal Government,"Apr 1, 2025, 8:30:00 AM"
FSCoE-NCB-G-0183-2017-PUR,Lot:  1,procurement of Day care material two,Federal Supreme Court,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
UoG-NCB-G-0198-2017-PUR,Lot:  1,Requisition of Digital lectern /አትሮኖስ/Di,University of Gondar,Goods,National,Federal Government,"Jan 3, 2026, 10:00:00 AM"
AmU-NCB-G-0612-2017-PUR,Lot:  1,የብሬል መጽሐፍያ (slate Stylus),Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
MoI-NCB-C-0027-2017-BID,Lot:  1,procurement of Investment Promotions Str,Ministry of Industry,ConsultancyServices,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
,,,,,,,
MOD-NCB-G-0690-2017-PUR,Lot:  1,የደረት ማይክራፎን፣የጠረጴዛ ማይክራፎን እና HDMI የግዥ(def,Ministry of Defense,Goods,National,Federal Government,"Apr 1, 2025, 11:00:00 AM"
AMSH-NCB-G-0072-2017-BID,Lot:  1,procurement of medicines 001,Amanuel Mental Specialized Hospital,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
BDU-NCB-G-0127-2017-PUR,Lot:  1,ባዮ ሀዛርድ ባግ,Bahir Dar University,Goods,National,Federal Government,"Apr 1, 2025, 2:00:00 AM"
BDU-NCB-G-0067-2017-BID,Lot:  1,የህጻናት ማቆያ እቃዎች ግዥ,Bahir Dar University,Goods,National,Federal Government,"Apr 15, 2025, 5:00:00 PM"
WKU-NCB-G-0413-2017-PUR,Lot:  1,LOT 446 Purchase Requisition of ለስምሪትና ጋ,Wolkite University,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
SPSH-NCB-G-0286-2017-PUR,Lot:  1,PROCUREMENT OF SPAR,St. Peter Specialized Hospital,Goods,National,Federal Government,"Apr 1, 2025, 8:30:00 AM"
FSCoE-NCB-G-0183-2017-PUR,Lot:  1,procurement of Day care material two,Federal Supreme Court,Goods,National,Federal Government,"Apr 1, 2025, 9:00:00 AM"
UoG-NCB-G-0198-2017-PUR,Lot:  1,Requisition of Digital lectern /አትሮኖስ/Di,University of Gondar,Goods,National,Federal Government,"Jan 3, 2026, 10:00:00 AM"
AmU-NCB-G-0612-2017-PUR,Lot:  1,የብሬል መጽሐፍያ (slate Stylus),Arbaminch University,Goods,National,Federal Government,"Apr 1, 2025, 10:00:00 AM"
MoI-NCB-C-0027-2017-BID,Lot:  1,procurement of Investment Promotions Str,Ministry of Industry,ConsultancyServices,National,Federal Government,"Apr 10, 2025, 10:00:00 AM"
,,,,,,,
SPHMMC-ICB-G-0090-2017-BID,Lot:  1,"Medical Gas System Design, Supply and In",St. Paul's Hospital Millennium Medical,Goods,International,Federal Government,"May 3, 2025, 5:00:00 PM"
MOD-NCB-G-0588-2017-BID,Lot:  1,PROCURMENT OF CONSTRUCTION MATERIAL OF C,Ministry of Defense,Goods,National,Federal Government,"Apr 13, 2025, 5:00:00 PM"
SPHMMC-NCB-G-0793-2017-PUR,Lot:  1,Metal ;- RHS & EGA,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Apr 2, 2025, 12:00:00 AM"
GRDCPO-NCB-G-0082-2017-PUR,Lot:  1,PROCUREMENT OF የአበባ ማስቀመጫ ፋይበር ፖት/// የአበ,Grand Renaissance Dam Coordination Proje,Goods,National,Federal Government,"Mar 3, 2029, 5:30:00 PM"
MoTL-NCB-C-0021-2017-BID,Lot:  1,Consultancy Service for Feasibility Stu,Ministry of Transport and Logistics,ConsultancyServices,National,Federal Government,"Apr 6, 2025, 10:00:00 AM"
SPHMMC-NCB-G-0791-2017-PUR,Lot:  1,oxygen cylinder trolly,St. Paul's Hospital Millennium Medical,Goods,National,Federal Government,"Mar 31, 2025, 5:30:00 PM"
